tipus de centre,Universitat responsable,Branca,Estudi,Codi estudi,Unitat responsable,Codi unitat,"Curs
 acadèmic",Sexe,NOU INGRÉS,MATRICULATS,TITULATS,ZACH & ANNA INTERESTED DATASET
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,08-09,HOME,0,0,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,08-09,DONA,9,9,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,09-10,HOME,nd,4,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,09-10,DONA,nd,7,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,10-11,DONA,10,10,9,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,10-11,HOME,8,8,6,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,11-12,DONA,nd,nd,nd,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT RAMON LLULL,Arts i humanitats,COMISSARIAT D'ART EN NOUS MITJANS,DGU000000667,ESCUELA SUPERIOR DE DISEÑO ESDI,41080710931,11-12,HOME,nd,nd,nd,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències,ACTIVITAT FÍSICA I DE L'ESPORT,DGU000000383,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,08-09,DONA,8,12,10,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències,ACTIVITAT FÍSICA I DE L'ESPORT,DGU000000383,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,08-09,HOME,18,20,17,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències,ACTIVITAT FÍSICA I DE L'ESPORT,DGU000000383,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,09-10,DONA,23,23,19,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències,ACTIVITAT FÍSICA I DE L'ESPORT,DGU000000383,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,09-10,HOME,19,20,15,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències,ACTIVITAT FÍSICA I DE L'ESPORT,DGU000000383,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,10-11,DONA,0,3,1,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències,ACTIVITAT FÍSICA I DE L'ESPORT,DGU000000383,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,10-11,HOME,0,1,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,09-10,DONA,12,12,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,09-10,HOME,38,38,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències de la salut,ESPORT SOSTENIBLE I BENESTAR,DGU000000361,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,09-10,DONA,12,12,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències de la salut,ESPORT SOSTENIBLE I BENESTAR,DGU000000361,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,09-10,HOME,4,4,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,REHABILITACIÓ NEUROPSICOLÒGICA I ESTIMULACIÓ COGNITIVA,DGU000000761,INSTITUT UNIVERSITARI DE NEUROREHABILITACIÓ GUTTMANN,22080705191,10-11,DONA,21,21,19,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,REHABILITACIÓ NEUROPSICOLÒGICA I ESTIMULACIÓ COGNITIVA,DGU000000761,INSTITUT UNIVERSITARI DE NEUROREHABILITACIÓ GUTTMANN,22080705191,10-11,HOME,3,3,2,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,10-11,DONA,0,11,9,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,10-11,HOME,0,32,28,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències de la salut,ESPORT SOSTENIBLE I BENESTAR,DGU000000361,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,DONA,0,12,10,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències de la salut,ESPORT SOSTENIBLE I BENESTAR,DGU000000361,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,HOME,0,4,4,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències de la salut,ESPORT SOSTENIBLE I BENESTAR,DGU000000361,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,11-12,DONA,0,1,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,11-12,DONA,8,9,1,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,11-12,HOME,47,47,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,NEUROREHABILITACIÓ,DGU000000760,INSTITUT UNIVERSITARI DE NEUROREHABILITACIÓ GUTTMANN,22080705191,11-12,DONA,44,44,16,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,NEUROREHABILITACIÓ,DGU000000760,INSTITUT UNIVERSITARI DE NEUROREHABILITACIÓ GUTTMANN,22080705191,11-12,HOME,19,19,10,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,REHABILITACIÓ NEUROPSICOLÒGICA I ESTIMULACIÓ COGNITIVA,DGU000000761,INSTITUT UNIVERSITARI DE NEUROREHABILITACIÓ GUTTMANN,22080705191,11-12,DONA,22,24,22,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,REHABILITACIÓ NEUROPSICOLÒGICA I ESTIMULACIÓ COGNITIVA,DGU000000761,INSTITUT UNIVERSITARI DE NEUROREHABILITACIÓ GUTTMANN,22080705191,11-12,HOME,3,3,3,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,GESTIÓ DE LA INFORMACIÓ I EL CONEIXEMENT EN L'ÀMBIT DE LA SALUT,DGU000000912,ESCOLA UNIVERSITARIA D'INFORMÀTICA TOMÀS CERDÀ,22080443511,12-13,DONA,6,6,5,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,GESTIÓ DE LA INFORMACIÓ I EL CONEIXEMENT EN L'ÀMBIT DE LA SALUT,DGU000000912,ESCOLA UNIVERSITARIA D'INFORMÀTICA TOMÀS CERDÀ,22080443511,12-13,HOME,2,2,1,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,NEUROREHABILITACIÓ,DGU000000760,INSTITUT GUTTMANN,22080705191,12-13,DONA,26,49,23,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,NEUROREHABILITACIÓ,DGU000000760,INSTITUT GUTTMANN,22080705191,12-13,HOME,6,14,8,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,REHABILITACIÓ NEUROPSICOLÒGICA I ESTIMULACIÓ COGNITIVA,DGU000000761,INSTITUT GUTTMANN,22080705191,12-13,DONA,25,26,24,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències de la salut,REHABILITACIÓ NEUROPSICOLÒGICA I ESTIMULACIÓ COGNITIVA,DGU000000761,INSTITUT GUTTMANN,22080705191,12-13,HOME,1,1,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,12-13,DONA,2,11,6,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències de la salut,RENDIMENT ESPORTIU: TECNIFICACIÓ I ALT NIVELL,DGU000000711,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA (INEFC),4080418911,12-13,HOME,25,67,26,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències de la salut,LIDERATGE I GESTIÓ DE LA CIÈNCIA I LA INNOVACIÓ,DGU000001141,IDEC - ESCOLA D'ESTUDIS SUPERIORS,39080720121,12-13,DONA,8,8,8,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT POMPEU FABRA,Ciències de la salut,LIDERATGE I GESTIÓ DE LA CIÈNCIA I LA INNOVACIÓ,DGU000001141,IDEC - ESCOLA D'ESTUDIS SUPERIORS,39080720121,12-13,HOME,2,2,2,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,08-09,DONA,23,25,21,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,08-09,HOME,19,23,18,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,08-09,DONA,26,27,24,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,08-09,HOME,10,11,9,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DRET ESPORTIU,DGU000000363,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,08-09,DONA,8,8,5,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DRET ESPORTIU,DGU000000363,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,08-09,HOME,32,32,12,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,GESTIÓ DE RISCOS TECNOLÒGICS I LABORALS,DGU000000598,ESCOLA DE PREVENCIÓ I SEGURETAT INTEGRAL,22080711351,09-10,DONA,4,4,2,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,GESTIÓ DE RISCOS TECNOLÒGICS I LABORALS,DGU000000598,ESCOLA DE PREVENCIÓ I SEGURETAT INTEGRAL,22080711351,09-10,HOME,12,12,11,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ D'EMPRESES INDUSTRIALS,DGU000000605,ESCOLA UNIVERSITÀRIA SALESIANS DE SARRIÀ,22080701061,09-10,DONA,7,7,7,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ D'EMPRESES INDUSTRIALS,DGU000000605,ESCOLA UNIVERSITÀRIA SALESIANS DE SARRIÀ,22080701061,09-10,HOME,13,13,11,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,09-10,DONA,27,28,18,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,09-10,HOME,18,21,16,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,09-10,DONA,27,28,24,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,09-10,HOME,5,6,5,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DIRECTOR ESPORTIU,DGU000000716,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,09-10,DONA,9,9,0,#N/A
