year;Industry;IT_Services;05. Extracción de antracita, hulla, lignito y turba;06. Extracción de petroleo bruto y de gas natural;07. Extracción de minerales metálicos;08. Extracción minerales no metálicos ni energéticos;09. Actividades de apoyo a las industrias extractivas;10. Industria de la alimentación;11. Fabricación de bebidas;12. Industria del tabaco;13. Industria textil;14. Confección de prendas de vestir;15. Industria del cuero y del calzado;16. Industria madera y corcho, excepto muebles;17. Industria del papel;18. Artes gráficas y reproducción soportes grabados;19. Coquerías y refino de petróleo;20. Industria química;21. Fabricación de productos farmacéuticos;22. Fabricación productos caucho y materias plásticas;23. Fabricación otros productos minerales no metálicos;"24. Metalurgia; fabr. prod. hierro, acero y ferroaleaciones";25. Fabricación prod. metálicos, excepto maquinaria y equipo;Manufacturing_IT_equipment;27. Fabricación materiales y equipos eléctricos;28. Fabricación maquinaria y equipos ncaa;29. Fabric. vehículos de motor, remolques y semiremolques;30. Fabricación otros materiales de transporte;31. Fabricación de muebles;32. Industrias manufactureras diversas;33. Reparación e instalación de maquinaria y equipo;35. Suministro de energía eléctrica, gas, vapor;36. Captación, depuración y distribución de agua;37. Recogida y tratamiento de aguas residuales;38. Activ. recogida, tratamiento y eliminación residuos;39. Activ. descontaminación y otros serv. gestión residuos;41. Construcción de inmuebles;42. Construcción de obras de ingeniería civil;43. Actividades especializadas de la construcción;45. Venta y reparación vehículos de motor y motocicletas;46. Comercio al por mayor e intermediarios del comercio;47. Comercio al por menor;"49. Transporte terrestre; transporte por tubería";50. Transporte marítimo y por vías de navegables interiores;51. Transporte aéreo;52. Almacenamiento y actividades anexas al transporte;53. Actividades postales y de correos;55. Servicios de alojamiento;56. Servicios de comidas y bebidas;58. Edición;"59. Activ. cine, vídeo y televisión; sonido y ed. musical";60. Activ. emisión y programación rádio y televisión;61. Telecomunicaciones;IT_Services;63. Servicios de información;64. Servicios financieros;65. Seguros, reaseguros y fondos de pensiones;66. Actividades auxiliares a servicios financieros y a seguros;68. Actividades inmobiliarias;69. Actividades jurídicas y de contabilidad;"70. Activ. sedes centrales; activ. consultoria gestión empresa";71. Servicios técnicos de arquitectura e ingeniería;72. Investigación y desarrollo;73. Publicidad y estudios de mercado;74. Otras activ. profesionales, científicas y técnicas;75. Actividades veterinarias;77. Actividades de alquiler;78. Actividades relacionadas con el empleo;79. Activ. agencias viajes, operadores turísticos y otros relac.;80. Actividades de seguridad e investigación;81. Servicios a edificios y actividades de jardinería;82. Activ.administrativas de oficina y otras activ. auxiliares;85. Educación;86. Actividades sanitarias;87. Actividades de servicios sociales con alojamiento;88. Actividades de servicios sociales sin alojamiento;90. Actividades de creación, artísticas y espectáculos;91. Activ. bibliotecas, archivos, museos y otras culturales;92. Activ. relacionadas con juegos de azar y apuestas;93. Actividades deportivas, recreativas y de entretenimiento;94. Actividades asociativas;95. Reparac. ordenadores, efectos personales y domésticos;96. Otros servicios personales
2009;179294;2.226;4;0;0;30;2;366;50;0;330;820;62;260;111;1.403;0;209;53;228;184;26;995;283;160;241;46;25;425;896;711;395;24;20;142;23;12.907;1.344;5.776;2.051;14.447;19.643;8.053;19;30;1.620;347;921;9.557;1.500;1.137;124;274;2.226;354;582;95;3.331;10.454;12.062;1.417;10.618;1.910;4.401;4.976;210;1.042;534;749;172;1.052;7.095;4.387;10.503;350;362;2.570;93;468;1.234;2.533;1.121;4.119
2010;176812;2.853;4;0;0;29;3;341;50;0;300;727;57;233;99;1.297;0;192;49;205;172;25;923;267;132;222;39;27;392;838;395;411;27;26;102;8;12.058;1.275;5.518;2.155;14.153;19.261;7.598;18;31;1.558;340;954;9.738;1.300;1.092;110;296;2.853;347;593;101;3.306;10.807;11.801;1.372;10.318;1.948;4.334;5.356;202;1.101;525;756;167;1.116;6.837;4.561;10.626;352;357;2.588;483;463;1.039;2.330;1.083;4.043
2011;174926;2.994;2;0;0;27;4;317;45;0;275;680;54;218;105;1.228;0;183;52;200;165;26;828;261;122;210;41;31;374;784;327;445;24;22;107;6;11.547;1.172;5.093;1.971;13.974;18.833;7.211;19;32;1.623;331;959;9.742;1.210;1.050;104;282;2.994;303;464;98;3.320;11.072;11.666;1.191;10.025;644;4.379;5.161;205;1.018;539;769;163;1.080;8.248;4.691;11.875;336;357;2.507;555;451;1.020;2.323;1.074;4.082
2012;171796;3.057;2;0;1;26;4;313;42;0;250;622;48;191;93;1.150;0;172;44;193;149;22;761;249;118;191;42;27;333;731;323;465;27;21;91;6;10.859;1.057;4.889;1.902;13.631;18.594;6.999;21;19;1.583;337;1.056;9.775;1.178;1.021;105;292;3.057;304;497;92;3.284;11.603;11.523;1.287;9.239;650;4.086;4.835;210;1.021;533;799;167;1.099;8.229;4.874;11.593;344;396;2.466;580;447;1.072;2.382;1.091;4.011
2013;169777;3.045;4;0;1;26;3;312;42;0;230;546;49;166;81;1.079;0;156;41;181;140;21;696;233;110;180;33;22;292;667;312;533;27;21;83;5;9.878;848;4.495;1.834;13.314;17.947;6.666;23;20;1.535;322;1.126;9.644;1.172;989;95;285;3.045;316;766;79;3.238;11.858;11.512;1.313;9.249;636;4.341;4.905;206;1.012;541;831;164;1.107;8.805;5.083;11.610;332;402;2.418;627;416;1.096;2.491;1.001;3.892
2014;167439;3.171;4;0;0;26;3;305;46;0;223;515;49;154;74;1.019;1;153;39;169;126;21;663;227;106;185;34;27;259;649;328;520;28;28;79;5;9.417;785;4.300;1.778;13.134;17.683;6.489;19;16;1.498;310;1.237;9.513;1.147;953;94;338;3.171;318;263;73;3.246;12.667;10.817;1.387;8.356;618;4.529;4.858;221;1.037;532;870;160;1.112;9.426;5.126;10.820;327;414;2.327;640;398;1.136;2.653;1.047;4.114
2015;170197;3.281;4;0;0;25;3;296;50;0;227;511;53;147;76;985;0;144;37;152;121;17;646;227;99;177;34;23;228;649;318;519;21;33;68;8;9.112;727;4.349;1.747;13.047;17.474;6.345;16;20;1.447;309;1.332;9.529;1.147;980;97;335;3.281;339;267;76;3.253;13.479;10.731;1.894;8.253;672;4.740;5.268;232;1.066;564;915;183;1.107;9.891;5.390;10.853;321;412;2.562;668;396;1.210;2.880;1.075;4.308
2016;174209;3.582;3;0;0;24;3;283;50;0;235;510;49;142;70;932;0;142;32;138;113;14;605;213;103;159;29;22;211;658;306;514;21;33;77;9;9.248;729;4.294;1.703;13.102;17.229;6.346;19;18;1.367;361;1.418;9.665;1.138;976;86;360;3.582;354;252;106;3.508;14.312;10.867;1.932;8.334;695;4.895;5.789;240;1.106;572;979;183;1.149;10.414;5.801;11.046;331;436;2.756;700;388;1.291;2.960;1.075;4.397
2017;178607;3.803;2;0;0;22;2;319;54;0;223;528;55;144;71;920;0;146;36;143;110;15;596;204;104;158;23;30;206;642;342;558;23;34;86;8;8.965;696;4.407;1.697;13.004;17.341;6.399;19;17;1.337;612;1.500;9.900;1.115;975;80;377;3.803;410;297;103;3.698;14.933;11.048;1.940;8.378;689;4.995;6.538;260;1.105;603;1.016;187;1.206;10.487;6.154;11.443;350;415;3.041;546;371;1.327;3.330;1.064;4.625
2018;182986;4.052;2;0;0;22;3;373;61;0;243;529;58;159;68;919;0;156;40;144;113;20;576;219;105;169;25;31;217;630;385;587;23;44;86;10;9.381;721;4.653;1.668;12.931;17.133;6.532;42;20;1.292;1.332;1.462;10.044;1.141;1.029;83;438;4.052;519;377;76;3.804;15.233;11.129;2.213;8.289;725;5.052;7.094;265;1.089;652;1.100;200;1.297;10.032;6.400;11.749;366;399;3.315;487;348;1.424;3.578;1.024;4.779
